pincode,stores_serving,total_orders,avg_orders_per_store,competing_stores,total_cancellations,cancel_rate_pct,cannibalization_signal
560004,8,1387,173,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",80,5.8,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560041,8,1416,177,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",79,5.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560003,8,1413,177,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",106,7.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560040,8,1425,178,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",85,6.0,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560038,8,1443,180,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",68,4.7,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560001,8,1437,180,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",79,5.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400003,8,1450,181,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",96,6.6,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
560034,8,1446,181,"Bengaluru Store 1 | Bengaluru Store 2 | Bengaluru Store 3 | Bengaluru Store 4 | Bengaluru Store 5 | Bengaluru Store 6 | Bengaluru Store 7 | Bengaluru Store 8",80,5.5,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400051,8,1453,182,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",92,6.3,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
400004,8,1463,183,"Mumbai Store 1 | Mumbai Store 2 | Mumbai Store 3 | Mumbai Store 4 | Mumbai Store 5 | Mumbai Store 6 | Mumbai Store 7 | Mumbai Store 8",92,6.3,"SEVERE CANNIBALIZATION — Consolidate to 1 mega store"
